City,Population
Los Angeles,3822000
San Francisco,808437
San Diego,909824
Phoenix,1644000
Denver,713252
Oakland,430553
Anaheim,344461
Seattle,759915
Arlington,394602
Houston,2303000
St. Louis,286578
Cincinnati,390513
Milwaukee,563305
Pittsburgh,302898
Cleveland,361607
Detroit,620376
Chicago,2665000
Minneapolis,425096
Kansas City,509297
Philadelphia,1567000
New York City,8336000
Washington D.C.,671803
Atlanta,499127
Miami,449514
St. Petersburg,261256
Boston,650706
Baltimore,569931
Toronto,2930000
