TeamName,Stadium,City
Dodgers,Dodger Stadium,Los Angeles
Giants,Oracle Park,San Francisco
Padres,Petco Park,San Diego
Diamondbacks,Chase Field,Phoenix
Rockies,Coors Field,Denver
Athletics,Oakland-Alameda County Coliseum,Oakland
Angels,Angel Stadium,Anaheim
Mariners,T-Mobile Park,Seattle
Rangers,Globe Life Field,Arlington
Astros,Minute Maid Park,Houston
Cubs,Wrigley Field,Chicago
Cardinals,Busch Stadium,St. Louis
Reds,Great American Ball Park,Cincinnati
Brewers,American Family Field,Milwaukee
Pirates,PNC Park,Pittsburgh
Guardians,Progressive Field,Cleveland
Tigers,Comerica Park,Detroit
White Sox,Guaranteed Rate Field,Chicago
Twins,Target Field,Minneapolis
Royals,Kauffman Stadium,Kansas City
Phillies,Citizens Bank Park,Philadelphia
Mets,Citi Field,New York City
Nationals,Nationals Park,Washington D.C.
Braves,Truist Park,Atlanta
Marlins,LoanDepot Park,Miami
Rays,Tropicana Field,St. Petersburg
Red Sox,Fenway Park,Boston
Orioles,Oriole Park at Camden Yards,Baltimore
Yankees,Yankee Stadium,New York City
Blue Jays,Rogers Centre,Toronto
